_id,Series Name,Series Code,Country Name,Country Code,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
1,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0.016870929,0.16371274,1.006098986,3.467205048,7.209178925,13.96917152,23,27.5064106,34.29051208,42.4,47.88846588,42.7,61.51441956,69.1,75.15437317,89.5
2,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Algeria,DZA,92.99005127,93.39325714,93.79601288,94.19605255,94.59069061,94.977211,95.35290527,95.715065,96.06099701,96.38908386,96.70213318,97.00404358,97.29869843,97.59001923,97.88188934,98.18426514,98.49073792,98.80651855,99.3,99.44389343,99.71117401,99.88954163,99.9730835,99.99691772,100
4,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Andorra,ADO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Angola,AGO,47.83362961,47.26111603,46.6881485,46.11248016,45.53139496,44.94219589,44.34217453,43.72862244,43.09883499,42.45120621,41.78853989,41.11472702,40.43367004,39.74926758,39.06541824,38.38602448,37.71497726,37.5,36.40599823,35.76550674,35.13201904,34.6,33.87903595,33.2560463,32
7,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Antigua and Barbuda,ATG,81.76303101,82.43552399,83.10756683,83.77690887,84.44083405,85.09664917,85.74163055,86.37309265,86.98831177,87.58570099,88.16803741,88.73923492,89.30319214,89.86380005,90.42495728,90.9905777,91.56453705,92.14981079,92.74558258,93.35009766,93.96161652,94.55201403,95.19865417,95.82067871,96.44298553
8,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Argentina,ARG,90.75908661,91.22473145,91.68991852,92.15240479,92.60948181,93.05843353,93.49656677,93.9211731,94.32954407,94.72006989,95.09555817,95.51106347,95.81700897,96.17076111,96.52507019,96.88382721,97.25093842,97.62935638,98.02481842,98.42118835,98.82,99.22019196,99.57305908,99.83154297,100
9,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Armenia,ARM,97.25182343,97.45218658,97.65210724,97.84931946,98.03503418,98.21669006,98.3875351,98.5450592,98.68743134,98.81430817,98.9,100,98,99.21535492,99.30730438,99.8,99.50715637,99.61998749,99.73951721,99.85289001,99.8,99.9835434,99.99794006,100,100
10,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Aruba,ABW,88.96104431,89.25134277,89.5411911,89.82833862,90.11006927,90.38368988,90.64647675,90.89574432,91.12876892,91.34395599,91.660398,91.73310852,91.91486359,92.09327698,92.27224731,92.45566559,92.64743042,92.85050964,93.06408691,93.2864151,93.35629215,93.75031281,93.98838806,94.22821045,94.46832275
11,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Azerbaijan,AZE,93.8162384,94.26899719,94.72130585,95.1709137,95.61510468,96.05118561,96.4764328,96.88816071,97.28364563,97,98.01556396,98.36993408,100,99.0592804,99.38833618,99.67290497,99.5,99.9670105,99.99606323,100,100,100,100,100,100
14,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,The Bahamas,BHS,90.26911926,90.83250427,91.39544678,91.95567322,92.51049042,93.05719757,93.59307098,94.11541748,94.62153625,95.10980988,95.58304596,96.065547,96.49997711,96.95147705,97.40352631,97.86003113,98.33274841,98.80426025,99.25509644,99.62670898,99.86366272,99.96853638,99.99661255,100,100
15,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bangladesh,BGD,7.576311588,9.997324944,12.41788769,14.8357439,17.8,19.65251732,22.04602051,22.4,26.7897377,29.13563728,32,33.78621292,36.0986824,38.40781021,40.6,44.23,45.35409927,46.5,50.03217697,52.38521576,55.26,59.6,59.47932434,61.5,62.4
17,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Belize,BLZ,77.61639404,78.29534149,78.97384644,79.64963531,80.32001495,80.98228455,81.6337204,82.27163696,82.89331055,83.49714661,84.08594513,84.66359711,85.23400879,85.80107117,86.36868286,86.94075012,87.52116394,88.11289215,88.71511841,89.32609558,89.91722437,90.56729126,91.1940155,91.82248688,92.45124817
21,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Benin,BEN,7.227713108,8.595435143,9.962705612,11.32727051,12.6864233,14.03745937,14.5,16.70435524,18.01480484,19.3074131,20.58498192,21.9,23.11058426,24.36641884,25.62280655,26.8836441,27.9,29.43333054,30.72432709,32.02407455,34.2,36.9,38.4,37.27555466,34.1
22,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bhutan,BTN,0,0.034340307,0.260303587,1.184689164,1.56777966,6.682752609,11.78690243,16.87752342,21.95190811,27.00845528,32.04995728,37.08031845,42.10343552,41.1,52.1435318,59.80811164,62.20143509,71.8,72.30080414,77.36448669,82.43516541,87.51110077,91.5,97.67171478,100
24,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bolivia,BOL,54.7538414,56.30331421,57.85233688,59.39865112,64.1,62.47234344,63.99430847,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,75.69345093,68.288209,76.211281,80.156567,84.674991,86.765597,84.49197388,88.335943,90.387375,89.505686,90.038729
25,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bosnia and Herzegovina,BIH,96.26522827,96.53527832,96.80487061,97.07176208,97.33324432,97.58660889,97.82914734,98.0462265,98.25828552,98.45483398,98.63742828,99.4,98.5,99.13459778,99.2962265,99.46206665,99.63188171,99.7,99.91215515,99.97640991,99.99703979,100,100,100,100
26,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Botswana,BWA,5.807373047,10.1,10.15149498,12.32062435,14.48434258,16.63994408,18.78472137,20.91596985,23.03098297,25.12815666,27.210289,24.8,31.3450222,33.4054184,35.46637344,37.53177643,39.60552979,41.6905899,43.1,45.89046478,48.00177383,53.24,52.23839188,54.36020279,56.48230362
27,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Brazil,BRA,87.475116,89.68133545,88.803833,89.999927,91.36769104,91.728598,92.867095,93.354139,94.193812,94.76296,94.45697021,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,99.1600647,99.328691,99.519494,99.575151,99.650247
28,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,British Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Burkina Faso,BFA,2.752827406,3.429683208,4.106088161,6.1,5.448074818,6.108244896,6.757591724,7.393409729,8.012992859,6.9,9.20143795,9.776995659,10.34531021,11.4,11.47579956,12.04577255,12.62409592,13.213727,13.81385708,14.42273808,13.1,15.65974617,16.28437614,16.91075516,19.2
32,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Burundi,BDI,1.453455091,1.733715534,2.013525009,2.29062891,2.562320948,2.825895786,3.078647375,3.317869902,3.9,3.746005535,3.93611145,4.115074635,4.286792755,4.455165863,4.624091625,4.797469139,4.979197025,5.172233105,4.8,5.588053226,5.3,6.031871319,6.5,6.489688396,7
33,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cambodia,KHM,0,0.103671074,0.470170826,0.554133475,2.740148067,4.918045521,7.085119724,9.238664627,18.67,13.49544525,16.6,17.6931591,19.7791996,19.3,23.94514465,20.5,28.12889481,30.23625374,26.4,34.48071671,31.1,38.75318146,40.89553833,43.03964233,56.1
34,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cameroon,CMR,30.0637989,29,32.4811058,33.6868248,34.88713455,36.07932663,37.26069641,38.42853546,40.7,40.71390533,41,46.2,44.04054642,45.1375351,47.1,47.33707428,49,48.2,50.70122528,51.84212875,52.9900322,53.7,55.29983139,56.45823288,56.8
35,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cape Verde,CPV,28.26068306,30.90181732,33.54250336,36.18048096,38.8130455,41.43749619,44.05112076,46.65121841,49.23508072,51.80110168,54.35208511,56.891922,58.6,61.95376205,64.48355865,67,69.56041718,72.11432648,74.67873383,77.25189209,81.1,82.41745758,85.00637054,87.59703064,90.18797302
37,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Central African Republic,CAF,0.398507953,0.956472993,1.513987064,2.068795204,2.618191957,3,3.68992734,4.206854343,4.707546711,5.19039917,6,6.114877224,6.56430006,7.010377407,7.457007885,7.908089638,8.36752224,8.838262558,9.319502831,9.809492111,9.8,10.80871868,11.31445694,11.82194519,12.32972527
39,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Chad,TCD,0,0.031614438,0.110866964,0.301871508,0.581031799,1.008564115,1.42527318,2.3,2.21539855,2.584504128,2.938567638,3.28148818,3.617164135,3.9494946,3.5,4.619713306,4.965398788,5.322392464,5.689885139,6.0661273,6.4,6.837860584,7.229851723,7.623592854,8.017625809
40,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
41,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Chile,CHL,92.257427,94.07894897,94.560057,94.81132507,95.17074585,95.52204895,95.617315,96.18948364,97.241124,96.79307556,97.938687,97.33760071,97.5970459,98.782325,98.11312866,98.37696838,99.368108,98.92881012,99.21689606,99.593662,99.73860168,99.588193,99.97544861,99.6,100
42,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,China,CHN,89.39480591,89.96698761,90.53871155,91.10773468,91.67134857,92.22684479,92.77151489,93.30265808,93.81756592,94.3146286,94.79665375,95.26753998,95.73117828,96.19146729,96.65231323,97.11760712,97.59125519,98.08387756,98.57659149,99.06166077,99.7,99.79426575,99.94684601,99.99354553,100
43,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Colombia,COL,89.9,90.71046448,91.09864807,91.48412323,91.86418915,91.2,92.59725952,92.94485474,93.2762146,93.58973694,95.2,94.17554474,94.45563507,94.73238373,95.0096817,96.8,95.58152771,95.88293457,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938
44,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Comoros,COM,14.41678429,16.95042992,19.4836235,22.01411247,24.53918839,27.05614662,28.9,32.05488968,34.53126144,36.98979568,39.43328476,41.86563492,44.8,46.7124939,49.13480377,51.5615654,53.9966774,56.44309998,58.9000206,61.36568832,63.83835602,66.31627655,69.3,71.2808609,73.76432037
45,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Dem. Rep. Congo,ZAR,0,0.592188418,1.3027879,2.010681629,2.713163853,3.407528639,4.091070175,4.761082649,5.414860249,6.050798416,6.7,7.281446934,7.883955479,8.483118057,9.082834244,6,10.29951954,15.2,11.55767059,12.20074558,12.85081959,13.50614357,15.4,14.82554054,13.5
46,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Congo,COG,17.7301693,18.85061646,19.97061348,21.08790398,22.19978142,23.30354309,24.39648247,25.47589111,26.53906631,27.58440208,28.6146946,29.63384438,30.64575005,31.65430832,32.66342163,33.8,34.69890213,35.73212433,36.77584457,37.1,38.88778687,39.95251083,41.6,42.09070206,43.16096115
47,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cook Islands,COK,95.33018494,95.58261871,95.83459473,96.08386993,96.32772827,96.56347656,96.78839874,96.99978638,97.19494629,97.37226105,97.53453827,97.68566895,97.82955933,97.9701004,98.11119843,98.25674438,98.60750531,98.57585144,98.7515564,98.93600464,99.12746429,99.26806953,99.52436829,99.72631836,99.92856598
48,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Costa Rica,CRI,97.24009705,97.40356445,97.56658936,97.72690582,97.88181305,98.0286026,98.16456604,98.28700256,98.39320374,98.48156738,98.55488586,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291
49,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cote d'Ivoire,CIV,97.24009705,97.40356445,97.56658936,97.72690582,97.88181305,98.0286026,98.16456604,98.28700256,98.39320374,98.48156738,98.55488586,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291
50,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cuba,CUB,92.065979,92.58811951,93.10980225,93.62879181,94.1423645,94.64781952,95.14244843,95.62355042,96.08841705,96.53544617,97,97.38827515,97.80187225,98.21253967,98.62625122,99.03889465,99.42514801,99.72990417,99.91030884,99.98190308,99.99838257,100,100,100,100
52,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Curacao,CUW,92.065979,92.58811951,93.10980225,93.62879181,94.1423645,94.64781952,95.14244843,95.62355042,96.08841705,96.53544617,97,97.38827515,97.80187225,98.21253967,98.62625122,99.03889465,99.42514801,99.72990417,99.91030884,99.98190308,99.99838257,100,100,100,100
53,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
54,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
55,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Djibouti,DJI,63.35894012,62.72679138,62.09418869,61.45888519,60.81816483,60.1693306,62,58.836483,58.14706039,57.43979645,56.71749115,55.98404694,49.7,54.49931717,53.75583267,53.01679993,55.5,51.56674194,50.85786438,50.15774155,49.46461487,48.77673721,48.09236145,47.40973282,46.72739792
57,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Dominica,DMA,65.4703064,67.02281952,68.57487488,70.12423706,71.66818237,73.20400238,74.72901154,76.24048615,75,79.21312714,80.6754837,82.12670135,87.7,85.01129913,86.4524765,87.89810181,89.3520813,90.81737518,90.9,93.7776947,95.2692337,96.76602173,98.10884094,99.19297028,100
58,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Dominican Republic,DOM,79.11233521,78.2,81.00093079,81.94229889,82.87825012,83.80608368,84.72309875,85.62658691,86.51383209,91,88.764932,89.791362,89.749814,89.173808,90.316567,90.141224,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979
59,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Ecuador,ECU,88.81425476,89.29840088,89.78209686,90.26308441,90.73866272,89.830167,91.66275787,92.10586548,92.726642,93.071434,93.33576202,93.71861267,94.09421539,94.973044,94.83927917,95.83265,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067
60,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Egypt,EGY,93.79931641,94.17079163,93.4,94.9101181,95.27302551,95.5,95.97177124,96.30220032,96.61640167,96.91275787,97.7,97.46424866,97.72717285,98.8,98.25021362,99.4,99.04,99.07633209,99.8,99.63510132,99.84063721,99.95353699,99.99267578,99.99964905,99.8
61,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,El Salvador,SLV,72.16699982,69.60788,74.33824921,75.42094421,76.49822998,76.995504,77.883,79.67055511,81.637983,79.129592,84.519249,87.063829,87.54906,86.961151,87.357045,87.525839,89.201467,91.109558,91.000227,91.08402,91.580238,92.574686,93.680571,95.043105,95.125416
62,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Equatorial Guinea,GNQ,54.83329773,55.42446518,56.0151825,56.60319138,57.18579102,57.76027298,58.32392883,58.87405777,59.40795517,59.92400742,60.42502213,60.91489029,61.39751816,61.87679672,62.35662842,62.84091187,63.3335495,63.83749008,64.35193634,64.87512207,65.40531921,66.1,66.47969818,67.02038574,67.56137085
63,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Eritrea,ERI,17.05944443,18.31919098,19.5784874,20.83507538,22.08625412,22.9,24.56155205,25.78026199,26.98273468,28.16736984,29.33696175,30.49541092,32.2,32.79447556,33.94288635,35.0957489,36.25696182,37.42948532,38.61250687,39.80427933,41.00304794,42.2070694,43.41458893,44.62385559,45.8334198
64,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Estonia,EST,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
65,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Ethiopia,ETH,0,1.135809779,2.292165756,3.445815802,4.594054222,5.734175205,6.863473415,7.979241848,9.07877636,10.16047001,12.7,12.28263187,13.33089638,14.37581635,15.42128849,14,17.5294857,18.5990696,19.67914963,20.76798058,21.86381149,23,24.06947136,25.17580223,27.2
66,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Faeroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Falkland Islands,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Fiji,FJI,55.24864197,57.23933029,59.2295723,61.21710587,63.19922638,65.17323303,66.9,69.0860672,71.01948547,72.93505859,74.83559418,76.72499084,78.60713959,80,82.36529541,84.24909973,86.14125824,88.9,89.95869446,91.88140869,93.81111908,95.74608612,97.68454742,98.91590881,100
69,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
71,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,French Guyana,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
73,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Gabon,GAB,63.89795303,65.02529907,66.15218353,67.27636719,68.3951416,69.50579834,70.60562897,71.69193268,72.76200104,73.81423187,73.6,75.87745667,76.89625549,77.91171265,78.92771912,81.6,80.97698212,82.01709747,83.06771851,84.12708282,85.1934433,86.26506042,89.3,86.4,89.49419403
74,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,The Gambia,GMB,16.77231789,18.1014061,19.43004417,17.7,22.07649803,23.38890076,24.69048119,25.97853279,27.25034904,28.50432587,34.3,30.97105217,32.19159698,33.40879822,34.6265564,35.84876251,37.079319,38.32118225,39.57354736,40.83465958,42.10277176,43.37613678,44.65299606,44.5,47.21051407
